Book,Author,Frequency,Genres,Length,Rating,Year_Published,Year_Read,Emotion,Series
The Book Thief,Markus Zusak,1,"Historical Fiction, Fiction, Young Adult, Classics, War",592,3.5,2006,2016,Wonder,
The Fault in Our Stars,John Green,1,"Young Adult, Romance, Fiction, Contemporary, Chick Lit, Coming Of Age",313,3.75,2012,2015,Despair,
The Maze Runner,James Dashner,1,"Young Adult, Dystopia, Science Fiction, Adventure, Fiction, Mystery",384,3.5,2009,2016,Indifference,"The Maze Runner, #1"
The Scorch Trials,James Dashner,1,"Young Adult, Dystopia, Science Fiction, Adventure, Fiction, Mystery",362,3.25,2010,2016,Indifference,"The Maze Runner, #2"
Legend,Marie Lu,1,"Young Adult, Dystopia, Fiction, Science Fiction, Romance, Adventure",305,3.5,2011,2015,Indifference,"Legend, #1"
Vampire Academy,Richelle Mead,1,"Young Adult, Fantasy, Paranormal, Romance, Fiction",332,2.25,2013,2015,Indifference,"Vampire Academy, #1"
"Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety ",Eric Schlosser,1,"History, Non-Fiction, Politics, Science, Military Fiction, War, American History",656,4.5,2013,2023,Outrage,
The History Of Graphic Design Vol 1.,Jens Muller,1,"Design, Art, Non-Fiction, History, Reference",480,4.25,2018,2023,Wonder,
A Tale of Two Cities,Charles Dickens,1,"Classics, Fiction, Historical Fiction, Literature",489,3.5,1859,2012,Confusion,
Death on the Nile,Agatha Christie,1,"Fantasy, Young Adult, Romance, Paranormal, Fiction, Magic",352,3.75,1987,2022,Surprise,"Hercule Poirot, #18"
Jaya Mahabharata,Devdutt Patnayak,1,"Mythology, Fiction, India, Literature, Classics, Philosophy, Hinduism, Spiritualism ",373,4.75,2010,2022,Wonder,
A Curse for True Love ,Stephanie Garber,1,"Fantasy, Young Adult, Romance, Magic",385,2.5,2023,2023,Indifference,"Once Upon a Broken Heart, #3"
Kiss of Deception,Mary E. Pearson,1,"Fantasy, Young Adult, Romance, Magic, Adventure",492,3,2014,2023,Indifference,"The Remnant Chronicles, #1"
The Heart of Betrayal,Mary E. Pearson,1,"Fantasy, Young Adult, Romance, Magic, Adventure",473,3.5,2015,2023,Anticipation,"The Remnant Chronicles, #2"
The Beauty of Darkness,Mary E. Pearson,1,"Fantasy, Young Adult, Romance, Magic, Adventure",684,3,2016,2023,Indifference,"The Remnant Chronicles, #3"
