Book,Author,Frequency,Genres,Length,Rating,Year_Published,Year_Read,Emotion,Series
A Court of Wings and Ruin,Sarah J. Maas ,3,"Fantasy, Romance, Young Adult, Fiction, Magic",705,4.25,2017,2018,Confusion,"A Court of Thorns and Roses, #3"
A Court of Mist and Fury,Sarah J. Maas ,3,"Fantasy, Romance, Young Adult, Fiction, Magic",643,4.75,2016,2018,Anticipation,"A Court of Thorns and Roses, #2"
A Court of Thorns and Roses,Sarah J. Maas ,3,"Fantasy, Romance, Young Adult, Fiction, Magic",419,4.25,2015,2018,Excitement,"A Court of Thorns and Roses, #1"
The Cruel Prince,Holly Black,4,"Fantasy, Young Adult, Romance, Fiction, Magic, Paranormal, Adventure",370,4.5,2018,2018,Excitement,"The Cruel Prince, #1"
The Wicked King,Holly Black,4,"Fantasy, Young Adult, Romance, Fiction, Magic, Paranormal, Adventure",336,4.75,2019,2019,Anticipation,"The Cruel Prince, #2"
The Queen of Nothing,Holly Black,4,"Fantasy, Young Adult, Romance, Fiction, Magic, Paranormal, Adventure",300,5,2019,2019,Surprise,"The Cruel Prince, #3"
This Savage Song,Victoria Schwab,1,"Fantasy, Young Adult, Dystopia, Fiction, Horror, Paranormal",469,4.25,2016,2018,Surprise,"Monsters of Verity, #1"
Our Dark Duet,Victoria Schwab,1,"Fantasy, Young Adult, Dystopia, Fiction, Horror, Paranormal",528,4.75,2017,2018,Despair,"Monsters of Verity, #2"
Scythe,Neal Shusterman,1,"Fantasy, Young Adult, Dystopia, Science Fiction, Fiction, Death, Romance",435,4.75,2016,2020,Wonder,"Arc of the Scythe, #1"
Thunderhead,Neal Shusterman,1,"Fantasy, Young Adult, Dystopia, Science Fiction, Fiction, Death, Romance",504,4.75,2018,2020,Despair,"Arc of the Scythe, #2"
The Toll,Neal Shusterman,1,"Fantasy, Young Adult, Dystopia, Science Fiction, Fiction, Death, Romance",625,5,2019,2021,Relief,"Arc of the Scythe, #3"
Chain of Gold,Cassandra Clare,1,"Fantasy, Young Adult, Romance, Historical Fiction, Paranormal, Fiction",582,4.25,2020,2020,Nostalgia,"The Last Hours, #1"
Chain of Iron,Cassandra Clare,1,"Fantasy, Young Adult, Romance, Historical Fiction, Paranormal, Fiction",656,4,2021,2021,Confusion,"The Last Hours, #2"
"Good Girl, Bad Blood",Holly Jackson,1,"Mystery, Young Adult, Thriller, Fiction, Crime, Romance",417,4.75,2020,2020,Excitement,"A Good Girl's Guide to Murder, #2"
A Good Girl's Guide to Murder,Holly Jackson,1,"Mystery, Young Adult, Thriller, Fiction, Crime, Romance",433,4.75,2019,2019,Surprise,"A Good Girl's Guide to Murder, #1"
The Rose & the Dagger,Renee Ahdieh,1,"Fantasy, Young Adult, Romance, Retellings, Fiction, Magic, Historical Fiction",416,4.25,2016,2021,Apprehension,"The Wrath and the Dawn, #2"
The Wrath and the Dawn,Renee Ahdieh,1,"Fantasy, Young Adult, Romance, Retellings, Fiction, Magic, Historical Fiction",416,4.75,2016,2021,Relief,"The Wrath and the Dawn, #1"
The Widow Of Wall Street,Randy Susan Meyers,1,"Fiction, Contemporary, Mystery, Chick Lit, Crime",339,3.25,2017,2020,Repulsion,
Royals,Rachel Hawkins,1,"Romance, Young Adult, Contemporary, Fiction, Chick Lit",306,3,2018,2021,Indifference,
A Torch Against the Night,Sabaa Tahir,1,"Fantasy, Young Adult, Romance, Fiction, Dystopia, Magic, Adventure",452,4.25,2016,2020,Apprehension,"An Ember in the Ashes, #2"
Ash Princess,Laura Sebastian,1,"Fantasy, Young Adult, Romance, Fiction, Magic, Dystopia",432,3.75,2018,2020,Excitement,"Ash Princess Trilogy, #1"
Lady Smoke,Laura Sebastian,1,"Fantasy, Young Adult, Romance, Fiction, Magic, Dystopia",496,3.25,2019,2020,Amorous,"Ash Princess Trilogy, #2"
Ember Queen,Laura Sebastian,1,"Fantasy, Young Adult, Romance, Fiction, Magic, Dystopia",512,4.25,2020,2020,Relief,"Ash Princess Trilogy, #3"
The Darkest Part Of The Forest,Holly Black,1,"Fantasy, Young Adult, Romance, Fiction, Paranormal, Magic",336,3.75,2015,2019,Nostalgia,
Shadow and Bone,Leigh Bardugo,1,"Fantasy, Young Adult, Romance, Fiction, Magic, Paranormal, Adventure",358,2.5,2012,2021,Anticipation,"The Shadow and Bone Trilogy, #1"
Serpent & Dove,Shelby Mahurin,1,"Fantasy, Romance, Young Adult, Paranormal, Magic, Fiction",513,3.75,2019,2020,Amorous,"Serpent & Dove, #1"
Prep School Confidential ,Kara Taylor,1,"Mystery, Young Adult, Contemporary, Romance, Boarding School, Thriller, Chick Lit, Fiction",310,2.75,2013,2018,Indifference,
Gone Girl,Gillian Flynn,1,"Fiction, Mystery, Thriller, Crime, Suspense, Contemporary",456,3.75,2014,2020,Confusion,
All The Bright Places,Jennifer Niven,1,"Young Adult, Romance, Contemporary, Fiction, Mental Health",378,3.5,2015,2018,Fear,
The House of Hades,Rick Riordian,1,"Fantasy, Mythology, Young Adult, Fiction, Adventure, Greek Mythology",597,3.75,2013,2013,Outrage,"Hereos of Olympus, #4"
