Title,Author,Length,Rating,Date Published,Date Read,Date Added,Read Count,ISBN13 Number,Amazon Standard Identification Number,Goodreads Number,Review,Cover Image
"The Name of the Star (Shades of London, #1)","Johnson, Maureen*",372pp,3,"Sep 29, 2011",Date Read Not Set,"June 12, 2021",1,9780142422052,0142422053,13595639,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338652359l/13595639._SX50_.jpg
"The Naturals (The Naturals, #1)","Barnes, Jennifer Lynn*",308pp,2,"Nov 05, 2013",Date Read Not Set,"June 07, 2021",1,9781423168232,1423168232,13597723,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620015246l/13597723._SY75_.jpg
"The Traitor Queen (The Bridge Kingdom, #2)","Jensen, Danielle L.*",352pp,5,"Sep 01, 2020",Date Read Not Set,"June 01, 2021",1,,,50719471,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599853320l/50719471._SY75_.jpg
"The Bridge Kingdom (The Bridge Kingdom, #1)","Jensen, Danielle L.*",356pp,4,"Oct 16, 2018",Date Read Not Set,"June 01, 2021",1,,B07SB6FRDN,53921926,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591726304l/53921926._SY75_.jpg
"Dance of Thieves (Dance of Thieves, #1)","Pearson, Mary E.*",512pp,0,"Aug 07, 2018",Date Read Not Set,"May 10, 2021",1,9781250159014,1250159016,35796008,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505930101l/35796008._SY75_.jpg
"Siege and Storm (The Shadow and Bone Trilogy, #2)","Bardugo, Leigh*",435pp,3,"Jun 04, 2013",Date Read Not Set,"May 03, 2021",1,,,14061955,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362166252l/14061955._SX50_.jpg
"The Inheritance Games (The Inheritance Games, #1)","Barnes, Jennifer Lynn*",386pp,2,"Sep 01, 2020",Date Read Not Set,"May 02, 2021",1,9781368052405,1368052401,52439531,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587396413l/52439531._SY75_.jpg
"The Rose & the Dagger (The Wrath and the Dawn, #2)","Ahdieh, Renee*",416pp,4,"Apr 26, 2016",Date Read Not Set,"April 16, 2021",1,9780399171628,0399171622,23308084,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443797156l/23308084._SY75_.jpg
"These Violent Delights (These Violent Delights, #1)","Gong, Chloe*",449pp,4,"Nov 17, 2020",Date Read Not Set,"April 02, 2021",1,9781534457690,1534457690,50892212,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580958058l/50892212._SY75_.jpg
"The Wrath and the Dawn (The Wrath and the Dawn, #1)","Ahdieh, Renee*",416pp,5,"May 12, 2015",Date Read Not Set,"April 02, 2021",1,9780399171611,0399171614,18798983,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417956963l/18798983._SY75_.jpg
"Kingdom of the Wicked (Kingdom of the Wicked, #1)","Maniscalco, Kerri*",372pp,4,"Oct 27, 2020",Date Read Not Set,"March 25, 2021",1,9780316428460,0316428469,52735921,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578938260l/52735921._SX50_SY75_.jpg
"As Good As Dead (A Good Girl's Guide to Murder, #3)","Jackson, Holly*",557pp,4,"Aug 05, 2021",Date Read Not Set,"March 20, 2021",1,9781405298605,140529860X,52814139,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611854931l/52814139._SY75_.jpg
"Chain of Iron (The Last Hours, #2)","Clare, Cassandra*",656pp,4,"Mar 02, 2021",Date Read Not Set,"March 05, 2021",1,9781406358100,140635810X,17699855,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1604591461l/17699855._SY75_.jpg
"Crush (Crave, #2)","Wolff, Tracy",704pp,3,"Sep 29, 2020","Jan 15, 2021","January 12, 2021",1,,B086J3PVLQ,53512484,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1596045047l/53512484._SY75_.jpg
"Crave (Crave, #1)","Wolff, Tracy",592pp,3,"Apr 07, 2020",Date Read Not Set,"January 08, 2021",1,9781640638952,1640638954,45892228,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578850525l/45892228._SX50_.jpg
Hunting Prince Dracula (Stalking Jack the Ripper #2),"Maniscalco, Kerri*",448pp,4,"Sep 19, 2017",Date Read Not Set,"December 16, 2020",1,9780316551663,031655166X,33784373,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489420853l/33784373._SX50_.jpg
"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)","Maniscalco, Kerri*",337pp,3,"Sep 20, 2016",Date Read Not Set,"December 04, 2020",1,,B01BU1IURC,40727470,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530823449l/40727470._SY75_.jpg
"The Box in the Woods (Truly Devious, #4)","Johnson, Maureen*",400pp,4,"Jun 15, 2021",Date Read Not Set,"December 04, 2020",1,9780063032620,B09QKSWGM5,52716736,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592740203l/52716736._SY75_.jpg
The Widow of Wall Street,"Meyers, Randy Susan*",339pp,4,"Apr 11, 2017",Date Read Not Set,"November 12, 2020",1,9781501131349,1501131346,30753736,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471809590l/30753736._SY75_.jpg
"Unspoken (The Lynburn Legacy, #1)","Brennan, Sarah Rees*",370pp,2,"Sep 11, 2012",Date Read Not Set,"October 16, 2020",1,9780375870415,0375870415,10866624,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333397426l/10866624._SY75_.jpg
Beach Read,"Henry, Emily*",400pp,3,"May 19, 2020",Date Read Not Set,"September 04, 2020",1,9781984806734,1984806734,52867387,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589881197l/52867387._SX50_.jpg
"A Torch Against the Night (An Ember in the Ashes, #2)","Tahir, Sabaa*",452pp,4,"Aug 30, 2016",Date Read Not Set,"August 28, 2020",1,9780008250447,0008250448,25558608,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463675717l/25558608._SY75_.jpg
"Lady Smoke (Ash Princess Trilogy, #2)","Sebastian, Laura*",496pp,3,"Feb 05, 2019",Date Read Not Set,"August 26, 2020",1,9781524767105,1524767107,40702154,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532535833l/40702154._SY75_.jpg
"Ember Queen (Ash Princess Trilogy, #3)","Sebastian, Laura*",512pp,5,"Feb 04, 2020",Date Read Not Set,"August 26, 2020",1,,B07SZQQ1RT,39216077,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1561484334l/39216077._SX50_.jpg
"Ash Princess (Ash Princess Trilogy, #1)","Sebastian, Laura*",432pp,4,"Apr 24, 2018",Date Read Not Set,"August 26, 2020",1,9781524767068,,32505753,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503181967l/32505753._SY75_.jpg
Who Killed Roger Ackroyd?: The Mystery Behind the Agatha Christie Mystery,"Bayard, Pierre",176pp,5,1998,Date Read Not Set,"August 25, 2020",1,9781565846777,156584677X,140314,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172116806l/140314._SY75_.jpg
Royals,"Hawkins, Rachel*",306pp,3,"May 01, 2018","Sep 02, 2020","August 13, 2020",1,9781407191560,B07CDR99CV,39873980,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523968545l/39873980._SY75_.jpg
The Darkest Part of the Forest,"Black, Holly*",336pp,4,"Jan 13, 2015",Date Read Not Set,"August 12, 2020",1,9780316213073,0316213071,20958632,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397755014l/20958632._SX50_.jpg
"An Ember in the Ashes (An Ember in the Ashes, #1)","Tahir, Sabaa*",446pp,4,"Apr 28, 2015",Date Read Not Set,"August 12, 2020",1,9781595148049,1595148043,36040400,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519425784l/36040400._SX50_.jpg
Eleanor & Park,"Rowell, Rainbow*",328pp,3,"Apr 12, 2012",Date Read Not Set,"August 12, 2020",1,9781250012579,1250012570,15745753,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341952742l/15745753._SX50_.jpg
Gone Girl,"Flynn, Gillian*",415pp,3,"May 14, 2012",Date Read Not Set,"July 11, 2020",1,,,19288043,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139l/19288043._SY75_.jpg
"The House of Hades (The Heroes of Olympus, #4)","Riordan, Rick*",597pp,4,"Oct 08, 2013",Date Read Not Set,"June 30, 2020",1,9781423146728,1423146727,12127810,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201430l/12127810._SY75_.jpg
"The Mark of Athena (The Heroes of Olympus, #3)","Riordan, Rick*",586pp,4,"Oct 02, 2012",Date Read Not Set,"June 30, 2020",1,9781423140603,1423140605,12127750,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201354l/12127750._SY75_.jpg
All the Bright Places,"Niven, Jennifer*",378pp,4,"Jan 06, 2015",Date Read Not Set,"June 26, 2020",1,9780385755887,0385755880,18460392,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404331702l/18460392._SY75_.jpg
"Allegiant (Divergent, #3)","Roth, Veronica*",531pp,3,"Oct 22, 2013",Date Read Not Set,"June 26, 2020",1,9780007524273,0007524277,18710190,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395582745l/18710190._SY75_.jpg
Sharp Objects,"Flynn, Gillian*",254pp,4,"Sep 26, 2006",Date Read Not Set,"June 26, 2020",1,,,18045891,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475695315l/18045891._SY75_.jpg
"Keys to the Demon Prison (Fablehaven, #5)","Mull, Brandon*",593pp,5,"Jan 01, 2010",Date Read Not Set,"June 23, 2020",1,9781606412381,1606412388,7243142,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298081448l/7243142._SX50_.jpg
"Secrets of the Dragon Sanctuary (Fablehaven, #4)","Mull, Brandon*",535pp,4,2009,Date Read Not Set,"June 23, 2020",1,9781606410424,1606410423,5217282,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388284893l/5217282._SX50_.jpg
"Grip of the Shadow Plague (Fablehaven, #3)","Mull, Brandon*",477pp,4,"Apr 21, 2008",Date Read Not Set,"June 23, 2020",1,9781590388983,1590388984,2146957,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388607686l/2146957._SX50_.jpg
"Rise of the Evening Star (Fablehaven, #2)","Mull, Brandon*",456pp,4,"Apr 24, 2007",Date Read Not Set,"June 23, 2020",1,9781590387429,1590387422,784911,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386633982l/784911._SX50_.jpg
"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)","Jackson, Holly*",417pp,5,"Apr 30, 2020",Date Read Not Set,"June 22, 2020",1,9781405297752,1405297751,51335759,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588319723l/51335759._SY75_.jpg
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)","Jackson, Holly*",433pp,5,"May 02, 2019",Date Read Not Set,"June 21, 2020",1,9781405293181,1405293187,40916679,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545494980l/40916679._SY75_.jpg
"Three Act Tragedy (Hercule Poirot, #11)","Christie, Agatha",336pp,3,"Jun 01, 1934",Date Read Not Set,"June 21, 2020",1,9780425205976,0425205975,140360,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388695324l/140360._SY75_.jpg
"Murder on the Orient Express (Hercule Poirot, #10)","Christie, Agatha",274pp,4,"Jan 01, 1934",Date Read Not Set,"June 21, 2020",1,9780007119318,B006VWJ2XC,853510,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486131451l/853510._SY75_.jpg
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)","Han, Jenny*",355pp,3,"Apr 15, 2014",Date Read Not Set,"June 20, 2020",1,,,15749186,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372086100l/15749186._SY75_.jpg
"One of Us Is Next (One of Us Is Lying, #2)","McManus, Karen*",377pp,3,"Jan 07, 2020",Date Read Not Set,"June 10, 2020",1,9780525707967,0525707964,44654627,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558455815l/44654627._SY75_.jpg
"Chain of Gold (The Last Hours, #1)","Clare, Cassandra*",582pp,5,"Mar 03, 2020",Date Read Not Set,"June 10, 2020",1,9781481431873,1481431870,17699853,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571379245l/17699853._SY75_.jpg
"The Elite (The Selection, #2)","Cass, Kiera*",336pp,4,"Apr 23, 2013",Date Read Not Set,"June 06, 2020",1,9780062059963,0062059963,16248068,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391454595l/16248068._SY75_.jpg
"Aurora Rising (The Aurora Cycle, #1)","Kaufman, Amie*",473pp,2,"May 06, 2019",Date Read Not Set,"April 05, 2020",1,9781524720964,1524720968,30075662,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560056657l/30075662._SY75_.jpg
"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)","Adams, Douglas",193pp,4,"Oct 12, 1979",Date Read Not Set,"April 05, 2020",1,,,386162,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162._SX50_SY75_.jpg
"Everything, Everything","Yoon, Nicola*",312pp,3,"Sep 01, 2015",Date Read Not Set,"April 05, 2020",1,9780553496642,0553496646,18692431,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450515891l/18692431._SY75_.jpg
Maze Runner: The Scorch Trials: The Official Graphic Novel Prelude,"Lanzing, Jackson",96pp,3,"Jun 23, 2015",Date Read Not Set,"April 05, 2020",1,9781608867509,1608867501,23452896,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427674948l/23452896._SY75_.jpg
The Perks of Being a Wallflower,"Chbosky, Stephen",213pp,4,"Feb 01, 1999",Date Read Not Set,"April 05, 2020",1,,,22628,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650033115l/22628._SX50_.jpg
"The Vanishing Stair (Truly Devious, #2)","Johnson, Maureen*",369pp,4,"Jan 22, 2019",Date Read Not Set,"April 05, 2020",1,9780062338082,0062338080,39893545,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529970325l/39893545._SY75_.jpg
"The Toll (Arc of a Scythe, #3)","Shusterman, Neal*",625pp,5,"Nov 05, 2019",Date Read Not Set,"April 05, 2020",1,9781481497060,1481497065,43822024,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558117336l/43822024._SY75_.jpg
"Thunderhead (Arc of a Scythe, #2)","Shusterman, Neal*",504pp,5,"Jan 09, 2018",Date Read Not Set,"April 03, 2020",1,9781442472457,1442472456,33555224,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505658534l/33555224._SY75_.jpg
"Of Curses and Kisses (St. Rosetta's Academy, #1)","Menon, Sandhya*",384pp,3,"Feb 18, 2020",Date Read Not Set,"March 31, 2020",1,,,43985469,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564596749l/43985469._SY75_.jpg
"In the Woods (Dublin Murder Squad, #1)","French, Tana*",431pp,4,"May 17, 2007",Date Read Not Set,"March 22, 2020",1,,,2459785,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562761513l/2459785._SY75_.jpg
"Angels & Demons (Robert Langdon, #1)","Brown, Dan*",736pp,4,May 2000,Date Read Not Set,"March 22, 2020",1,9781416524793,1416524797,960,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1696691404l/960._SY75_.jpg
"The Da Vinci Code (Robert Langdon, #2)","Brown, Dan*",489pp,4,"Mar 18, 2003",Date Read Not Set,"March 22, 2020",1,,,968,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968._SY75_.jpg
"A Winter's Promise (The Mirror Visitor, #1)","Dabos, Christelle",443pp,1,"Jun 06, 2013","Mar 21, 2020","March 19, 2020",1,,B07B8WK17G,39986039,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681495804l/39986039._SY75_.jpg
"One of Us Is Lying (One of Us is Lying, #1)","McManus, Karen*",360pp,4,"May 30, 2017","Mar 22, 2020","January 10, 2020",1,,,32571395,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490084494l/32571395._SY75_.jpg
"A Curse So Dark and Lonely (Cursebreakers, #1)","Kemmerer, Brigid*",484pp,4,"Jan 29, 2019",Date Read Not Set,"November 22, 2019",1,9781681195087,1681195089,43204703,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574179523l/43204703._SY75_.jpg
"House of Earth and Blood (Crescent City, #1)","Maas, Sarah J.*",804pp,0,"Mar 03, 2020","Dec 29, 2022","November 22, 2019",1,,B07QBC8QTP,44797223,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559143085l/44797223._SY75_.jpg
"Before the Devil Breaks You (The Diviners, #3)","Bray, Libba*",552pp,5,"Oct 03, 2017",Date Read Not Set,"November 21, 2019",1,9780316126069,0316126063,25985241,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498737891l/25985241._SY75_.jpg
"Lair of Dreams (The Diviners, #2)","Bray, Libba*",613pp,5,"Aug 25, 2015",Date Read Not Set,"November 21, 2019",1,9780316126045,0316126047,16060716,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560630223l/16060716._SY75_.jpg
"Serpent & Dove (Serpent & Dove, #1)","Mahurin, Shelby*",513pp,4,"Sep 03, 2019",Date Read Not Set,"November 21, 2019",1,,,40024139,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549476128l/40024139._SY75_.jpg
"The Lost Sisters (The Folk of the Air, #1.5)","Black, Holly*",50pp,5,"Oct 02, 2018","Nov 21, 2019","November 21, 2019",1,9780316310444,,40772063,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531854833l/40772063._SX50_.jpg
"A Study in Charlotte (Charlotte Holmes, #1)","Cavallaro, Brittany*",321pp,2,"Mar 01, 2016",Date Read Not Set,"July 21, 2019",1,9780062398901,0062398903,23272028,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435248277l/23272028._SY75_.jpg
"The Dream Thieves (The Raven Cycle, #2)","Stiefvater, Maggie*",439pp,0,"Sep 17, 2013",Date Read Not Set,"July 04, 2019",1,9780545424943,0545424941,17347389,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1477103777l/17347389._SY75_.jpg
"Caraval (Caraval, #1)","Garber, Stephanie*",407pp,3,"Sep 29, 2016",Date Read Not Set,"July 04, 2019",1,9781250095251,1250095255,27883214,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465563623l/27883214._SY75_.jpg
"City of Heavenly Fire (The Mortal Instruments, #6)","Clare, Cassandra*",725pp,3,"May 27, 2014",Date Read Not Set,"July 04, 2019",1,9781481426305,1481426303,8755785,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460477794l/8755785._SY75_.jpg
"Red Queen (Red Queen, #1)","Aveyard, Victoria*",388pp,3,"Feb 10, 2015",Date Read Not Set,"July 04, 2019",1,,0062310631,22328546,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449778912l/22328546._SY75_.jpg
"The Last Olympian (Percy Jackson and the Olympians, #5)","Riordan, Rick*",381pp,5,"May 05, 2009",Date Read Not Set,"July 04, 2019",1,9781423101475,1423101472,4556058,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519022209l/4556058._SX50_.jpg
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)","Riordan, Rick*",361pp,5,"Mar 06, 2008",Date Read Not Set,"July 04, 2019",1,9781423101468,1423101464,2120932,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518607478l/2120932._SX50_.jpg
"The Titan's Curse (Percy Jackson and the Olympians, #3)","Riordan, Rick*",320pp,5,"May 05, 2007",Date Read Not Set,"July 04, 2019",1,9780141382890,0141382899,561456,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361038385l/561456._SY75_.jpg
"The Sea of Monsters (Percy Jackson and the Olympians, #2)","Riordan, Rick*",279pp,5,"Apr 01, 2006",Date Read Not Set,"July 04, 2019",1,9780786856862,,28186,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602661l/28186._SX50_.jpg
"The Hand on the Wall (Truly Devious, #3)","Johnson, Maureen*",369pp,5,"Jan 21, 2020",Date Read Not Set,"July 04, 2019",1,9780062338112,0062338110,45240918,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1561155199l/45240918._SY75_.jpg
Turtles All the Way Down,"Green, John*",290pp,5,"Oct 10, 2017",Date Read Not Set,"May 09, 2019",1,9780525555360,0525555366,35504431,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503002776l/35504431._SY75_.jpg
"The Raven Boys (The Raven Cycle, #1)","Stiefvater, Maggie*",409pp,4,"Sep 18, 2012",Date Read Not Set,"May 09, 2019",1,9780545424929,0545424925,17675462,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573508485l/17675462._SY75_.jpg
"Shadow and Bone (The Shadow and Bone Trilogy, #1)","Bardugo, Leigh*",358pp,1,"Jun 05, 2012",Date Read Not Set,"May 09, 2019",1,,,10194157,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339533695l/10194157._SX50_.jpg
"The Murder of Roger Ackroyd (Hercule Poirot, #4)","Christie, Agatha",288pp,4,"Jun 07, 1926",Date Read Not Set,"May 09, 2019",1,9781579126278,1579126278,16328,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389734015l/16328._SY75_.jpg
"The Unbecoming of Mara Dyer (Mara Dyer, #1)","Hodkin, Michelle*",456pp,3,"Sep 27, 2011",Date Read Not Set,"March 14, 2019",1,,B004IK988I,11408650,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336655755l/11408650._SX50_.jpg
The Chaos of Standing Still,"Brody, Jessica*",406pp,4,"Nov 28, 2017",Date Read Not Set,"March 13, 2019",1,9781481499187,1481499181,34144464,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496449174l/34144464._SY75_.jpg
"The Hate U Give (The Hate U Give, #1)","Thomas, Angie*",454pp,4,"Feb 28, 2017",Date Read Not Set,"March 03, 2019",1,,0062498533,32075671,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476284759l/32075671._SY75_.jpg
"Scythe (Arc of a Scythe, #1)","Shusterman, Neal*",435pp,5,"Nov 22, 2016",Date Read Not Set,"January 28, 2019",1,,,28954189,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456172676l/28954189._SY75_.jpg
"The Diviners (The Diviners, #1)","Bray, Libba*",578pp,4,"Sep 18, 2012",Date Read Not Set,"January 28, 2019",1,,,7728889,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555345561l/7728889._SY75_.jpg
"The Queen of Nothing (The Folk of the Air, #3)","Black, Holly*",300pp,5,"Nov 19, 2019",Date Read Not Set,"January 21, 2019",1,9780316310406,,26032912,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553624975l/26032912._SX50_.jpg
"Defy Me (Shatter Me, #5)","Mafi, Tahereh",357pp,5,"Apr 02, 2019",Date Read Not Set,"November 28, 2018",1,9780062676399,0062676393,34992959,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548349704l/34992959._SX50_.jpg
"Our Dark Duet (Monsters of Verity, #2)","Schwab, Victoria*",528pp,5,"Jun 13, 2017",Date Read Not Set,"November 21, 2018",1,9780062380883,0062380885,32075662,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476399662l/32075662._SY75_.jpg
"Winter (The Lunar Chronicles, #4)","Meyer, Marissa*",827pp,5,"Nov 10, 2015",Date Read Not Set,"November 21, 2018",1,9780312642983,0312642989,13206900,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470057036l/13206900._SX50_.jpg
"Cress (The Lunar Chronicles, #3)","Meyer, Marissa*",552pp,4,"Feb 04, 2014",Date Read Not Set,"November 21, 2018",1,9780312642976,0312642970,13206828,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470057005l/13206828._SY75_.jpg
"Scarlet (The Lunar Chronicles, #2)","Meyer, Marissa*",454pp,4,"Feb 05, 2013",Date Read Not Set,"November 21, 2018",1,9780312642969,0312642962,13206760,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470056982l/13206760._SY75_.jpg
"Truly, Devious (Truly Devious, #1)","Johnson, Maureen*",416pp,5,"Jan 16, 2018",Date Read Not Set,"November 21, 2018",1,,,29589074,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498501619l/29589074._SX50_.jpg
"Renegades (Renegades, #1)","Meyer, Marissa*",552pp,4,"Nov 07, 2017",Date Read Not Set,"November 17, 2018",1,9781250044662,1250044669,28421168,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494896884l/28421168._SX50_.jpg
"Endgame (Night School, #5)","Daugherty, C.J.*",375pp,4,"Jun 06, 2015",Date Read Not Set,"October 28, 2018",1,,,17978510,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425033413l/17978510._SY75_.jpg
"Resistance (Night School, #4)","Daugherty, C.J.*",393pp,5,"May 15, 2014",Date Read Not Set,"October 28, 2018",1,9780349001708,0349001707,21130121,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394409055l/21130121._SY75_.jpg
"Fracture (Night School, #3)","Daugherty, C.J.*",374pp,4,"Jan 01, 2013",Date Read Not Set,"October 28, 2018",1,9780349001715,0349001715,17345616,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368805659l/17345616._SY75_.jpg
"Legacy (Night School, #2)","Daugherty, C.J.*",385pp,4,"Nov 22, 2012","Oct 28, 2018","October 28, 2018",2,9781907411229,1907411224,15757366,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349431865l/15757366._SY75_.jpg
"Night School (Night School, #1)","Daugherty, C.J.*",454pp,4,"Dec 09, 2012",Date Read Not Set,"October 28, 2018",1,9781907411212,1907411216,12576579,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352303569l/12576579._SY75_.jpg
"The Wicked King (The Folk of the Air, #2)","Black, Holly*",336pp,5,"Jan 08, 2019",Date Read Not Set,"October 27, 2018",1,9780316310338,0316310336,26032887,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520620414l/26032887._SY75_.jpg
"This Savage Song (Monsters of Verity, #1)","Schwab, Victoria*",469pp,4,"Jun 05, 2016",Date Read Not Set,"October 27, 2018",1,,,40642172,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529942103l/40642172._SY75_.jpg
