Title,Author,Length,Rating,Date Published,Date Read,Date Added,Read Count,ISBN13 Number,Amazon Standard Identification Number,Goodreads Number,Review,Cover Image
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)","Maas, Sarah J.*",705pp,4,"May 02, 2017",Date Read Not Set,"December 18, 2016",1,9781408857908,1408857901,23766634,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555221560l/23766634._SY75_.jpg
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)","Maas, Sarah J.*",432pp,5,"May 05, 2015","Dec 16, 2016","December 13, 2016",1,9781619634442,1619634449,16096824,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546406962l/16096824._SY75_.jpg
"Flawed (Flawed, #1)","Ahern, Cecelia",417pp,5,"Mar 24, 2016","Oct 17, 2016","October 17, 2016",1,9780008125103,B00RSOWCLG,25859216,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458595902l/25859216._SY75_.jpg
"Perfect (Flawed, #2)","Ahern, Cecelia",341pp,4,2017,Date Read Not Set,"October 17, 2016",1,9781250074126,1250074126,28116714,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464834525l/28116714._SY75_.jpg
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","Rowling, J.K.",652pp,5,"Jul 16, 2005",Date Read Not Set,"July 05, 2016",0,,,1,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303l/1._SX50_.jpg
"Nightshade (Nightshade, #1; Nightshade World, #4)","Cremer, Andrea*",452pp,2,"Oct 19, 2010",Date Read Not Set,"July 05, 2016",1,9780399254826,039925482X,7402393,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333400218l/7402393._SY75_.jpg
"Beautiful Creatures (Caster Chronicles, #1)","Garcia, Kami*",563pp,3,"Dec 01, 2009",Date Read Not Set,"July 05, 2016",1,9780316042673,0316042676,6304335,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873282l/6304335._SY75_.jpg
"Awry (The Archers of Avalon, #2)","Fine, Chelsea*",495pp,1,"Jun 10, 2010",Date Read Not Set,"July 05, 2016",1,,B008AEDOA6,13334934,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336363011l/13334934._SY75_.jpg
"New Moon (The Twilight Saga, #2)","Meyer, Stephenie",563pp,1,"Sep 06, 2006",Date Read Not Set,"July 05, 2016",1,,,49041,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630592760l/49041._SX50_.jpg
"Eclipse (The Twilight Saga, #3)","Meyer, Stephenie",629pp,2,"Aug 07, 2007",Date Read Not Set,"July 05, 2016",1,9780316160209,0316160202,428263,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361038355l/428263._SY75_.jpg
"Deity (Covenant, #3)","Armentrout, Jennifer L.*",330pp,3,"Oct 31, 2012",Date Read Not Set,"July 05, 2016",1,9781937053147,1937053148,9761778,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1323658176l/9761778._SX50_.jpg
